Title,Dewey_Decimal_Number,Author,ISBN,In_Stock,DatePurchased,NumberInStock,NumberOfAccesses,Price,LastAccessed
Challenge to Science:The UFO Enigma,1.9,"Vallee, Jacques",0030265958,y,01-JAN-1977,2,2,2.99,20-MAR-1985
Changing English,418,"Graddol, David, Dick Leith, et al",978-1058848403,y,22-APR-2011,1,2,17.99,15-MAY-2018
Changing Face of Britain,942,"Hyams, Edward",4484993794,y,12-JUN-1997,1,1,17.99,29-AUG-2005
Chaos,520,"Gleick, James",3984170451,y,01-FEB-1991,2,2,21.5,01-SEP-2000
Chapter House Dune,823,"Herbert, Frank",1795996652,y,27-MAY-1986,1,10,4.5,13-AUG-1994
Chariots of the Gods,1.9,"Von Daniken, Erich",8040996584,y,01-JAN-1976,1,4,1.5,05-NOV-1982
Chasing the Sun,413.9,"Green, Jonathon",4267728270,y,27-DEC-1995,2,4,5.99,31-OCT-2002
Chatterton,823,"Ackroyd, Peter",978-4660642657,y,11-JAN-2015,3,4,5.99,15-MAY-2018
Chemistry of Conscious States,153,"Hobson, J Allan",8869492034,y,20-FEB-1997,2,2,12.49,21-SEP-2006
"Child's Child, The",823,"Vine, Barbara",1800373542,y,,1,4,,24-JUN-2011
Childhood's End,823,"Clarke, Arthur C",9621161371,y,01-JUL-1980,4,2,4.5,21-JUL-1982
Children of Apollo,823,"Whittington, Mark R",978-6425153434,y,02-NOV-2006,5,2,7.99,10-JUL-2007
Children of Dune,823,"Herbert, Frank",3488921753,y,01-MAR-1978,1,10,1.99,18-MAY-1986
"Children of Men, The",823,"James, P D",4538356133,y,16-AUG-1997,4,12,5.99,17-MAR-2007
Children of Prometheus,500,"Wills, Christopher",532544191X,y,06-NOV-2003,1,2,17.99,28-APR-2009
Children of the Night,823,"Blackburn, John",8993847416,n,01-NOV-1976,0,10,1.5,16-MAY-2017
Chimera,823,"Barth, John",8145193257,y,01-JUL-1981,4,10,4.99,05-MAY-1988
"Chimney Sweeper's Boy, The",823,"Vine, Barbara",978-9547326658,y,18-JUL-2006,2,10,17.99,04-OCT-2014
Chocky,823,"Wyndham, John",8439805521,n,01-NOV-1993,0,4,5.99,16-MAY-2017
Chomsky,415.9,"Lyons, John",7434110231,y,27-SEP-2003,2,2,12.49,14-DEC-2011
Chomsky for Beginners,410,"Maher, John and Groves, Judy",7841986524,n,15-JUN-1997,0,1,5.99,16-MAY-2017
"Chymical Wedding, The",823,"Clarke, Lindsay",0094761578,y,30-SEP-1996,1,4,7.99,17-DEC-2004
Cider with Rosie,823,"Lee, Laurie",1079601138,n,01-DEC-1980,0,4,2.99,16-MAY-2017
Cities and Civilizations,900,"Hibbert, Christopher",2073572526,y,28-DEC-1996,2,2,17.99,17-JAN-1999
City of Light,823,"Doane, Michael",7467472994,y,22-SEP-2005,3,4,5.99,23-APR-2015
City of Revelation,133.5,"Michell, John",0242136438,n,01-JAN-1976,0,2,1.99,16-MAY-2017
City of Spades,823,"MacInnes, Colin",7184734916,y,01-JUL-1987,1,2,1.99,29-JAN-1997
Civilisation and its Discontents,154.2,"Freud, Sigmund",2037755769,y,01-JAN-1995,2,2,5.99,20-JAN-1997
Civilization,306.4,"Bell, Clive",3806862493,n,01-JUL-1992,0,2,12.49,16-MAY-2017
"Civilization of the Crowd, The",306,"Golby, J M and A W Purdue",3211645742,y,05-OCT-1995,2,2,5.99,05-MAY-2005
Class Inequality and Political Order,300,"Parkin, Frank",3574867972,y,01-JUN-1984,2,2,1.99,18-AUG-1992
Clausewitz: A Very Short Introduction,355,"Howard, Michael",978-0538077639,y,28-NOV-2015,1,0,5.99,15-MAY-2018
"Claw of the Conciliator, The",823,"Wolfe, Gene",7870432072,y,01-MAR-1989,4,1,4.5,04-JAN-1996
"Climatic Threat, The",550,"Gribbin, John",1484329105,y,27-MAY-1997,2,1,17.99,26-DEC-2006
"Clockwork Orange, A",823,"Burgess, Anthony",7867990582,y,02-SEP-2000,5,4,17.99,19-NOV-2008
Close Encounters: Science and Science Fiction,809.3,"Lambourne, Robert, et al",8412610497,y,23-MAY-2001,2,4,7.99,09-AUG-2009
Close Quarters,823,"Golding, William",7689826739,n,01-APR-1989,0,1,5.49,16-MAY-2017
Close to the Bone,823,"MacBride, Stuart",2152460824,y,16-AUG-1998,4,4,5.99,02-NOV-2006
Cloud Atlas,823,"Mitchell, David",978-5462815401,n,24-MAR-2008,0,1,5.99,16-MAY-2017
"Cogwheel Brain, The",500,"Swade, Doron",978-9434779947,y,16-APR-2009,1,2,5.99,19-FEB-2016
Colin Wilson: The Man and His Mind,809.3,"Dossor, Howard F",978-9899350298,y,05-MAY-2009,1,2,12.49,15-MAY-2018
Collapse,500,"Diamond, Jared",489232867X,y,27-SEP-2003,1,4,5.99,14-DEC-2011
Collected Ghost Stories,808.3,"James, M R",978-4227510441,y,31-DEC-2008,2,4,5.99,15-MAY-2018
Collected Short Stories,808.3,"Forster, E M",978-5202311545,n,16-SEP-2007,0,4,21.5,16-MAY-2017
"Collector, The",823,"Fowles, John",978-9177509420,y,03-AUG-2006,3,10,12.49,22-AUG-2008
Colony,823,"Bova, Ben",2000821578,n,01-OCT-1993,0,10,21.5,16-MAY-2017
"Colour Purple, the",823,"Walker, Alice",1780228716,y,13-MAR-1983,5,12,4.5,11-OCT-1992
"Comedians, The",823,"Greene, Graham",5290203293,y,01-FEB-1996,1,1,5.99,24-JUL-2001
"Comfort of Strangers, The",823,"McEwan, Ian",692931976X,y,01-JAN-1988,4,10,1.99,01-AUG-1997
Coming of Age in the Milky Way,520,"Ferris, Timothy",9826562325,y,01-AUG-1993,2,4,5.99,02-MAR-2003
"Coming of the Mass Market, The",900,"Fraser, W Hamish",8636126662,y,01-OCT-1999,1,4,21.5,18-DEC-2007
"Common Sense of Science, The",501,"Bronowski, J",8384431469,y,01-APR-1996,1,1,5.99,18-JUN-2004
"Common Sense, Science, and Skepticism",501,"Musgrave, Alan",6035795648,y,,2,4,,05-NOV-2012
Communicating Science: Contexts and Channels,501.4,"Scanlon, Eileen, Elizabeth Scanlon, and Simeon Yates (eds.)",3776267960,y,28-FEB-2003,2,1,17.99,24-NOV-2005
Communicating Science: Professional Contexts,501.4,"Scanlon, Eileen, Roger Hill and Kirk Junker (eds.)",7452167663,y,14-FEB-2003,1,2,12.49,19-DEC-2009
Communications,300,"Williams, Raymond",5870288483,y,01-FEB-1979,1,4,0.99,06-DEC-1985
Communion,1.9,"Streiber, Whitley",2928107238,n,01-JUN-1988,0,1,4.99,16-MAY-2017
Communities in Britain: Social Life in Town and Country,300,"Frankenberg, Ronald",3900308909,y,01-SEP-1994,2,2,12.49,01-APR-2004
Companion to Literature in English,803,"Ousby, Ian (Ed.)",8984022447,y,,2,1,,20-MAR-2014
Complete Shakespeare,822.3,"Shakespeare, William",7586530292,y,,2,1,,05-NOV-2012
Complexity,500,"Waldrop, N Mitchell",6654182140,y,01-JAN-1994,1,2,5.99,21-JAN-1996
Complexity,500,"Lewin, Roger",7140686832,y,01-MAY-1995,2,1,21.5,05-MAR-2002
Complicity,823,"Banks, Iain",978-9682773677,y,04-JUN-2006,2,1,7.99,08-APR-2013
"Concept of Mind, The",128.2,"Ryle, Gilbert",042334112X,y,01-MAY-1991,2,1,5.99,18-JUL-1999
Conceptual Revolutions,501,"Thagard, Paul",3751773328,y,,1,2,,05-NOV-2012
Concise Encyclopedia of Western Philosophy,100.3,"Urmson, J O, and Ree,",9309146632,y,,1,2,,05-NOV-2012
Conclusions from Controlled UFO Hoaxes,1.9,"Simpson, David",3456440341,y,23-DEC-2005,1,4,12.49,02-APR-2006
"Concrete Garden, The",823,"McEwan, Ian",6491193048,y,01-JUL-1980,4,2,2.99,17-SEP-1988
"Condition of Muzak, The",823,"Moorcock, Michael",5492912296,y,01-MAY-1979,1,1,0.99,18-JUL-1987
Consciousness Explained,150,"Dennet, Daniel C",6898319804,y,01-DEC-1993,1,1,5.99,17-FEB-2002
Consciousness Reconsidered,128.2,"Flanagan, Owen",6062495753,y,01-JUN-1994,1,2,5.99,05-APR-2001
Consciousness and Society,300,"Hughes, H. Stuart",164692579X,y,27-AUG-2002,1,1,7.99,15-SEP-2004
Consciousness: How Matter Becomes Imagination,150,"Edelman, Gerald M, and Giulio Tononi",8213537670,y,28-NOV-2003,2,1,5.99,28-JUN-2013
Consider Phlebas,823,"Banks, Iain M",0165737756,y,01-JUL-1989,4,4,4.99,09-AUG-1993
Consilience,500,"Wilson, E O",003260814X,y,15-APR-2004,2,4,5.99,02-JUL-2012
"Consolations of Philosophy, The",100,"De Botton, Alain",6240542287,y,21-APR-2004,1,2,17.99,24-FEB-2011
"Construction of Social Reality, The",100,"Searle, John R",9214980267,y,14-JAN-2000,1,2,7.99,18-NOV-2006
Consuming Passions: The Dynamics of Popular Culture,820.9,"Williamson, Judith",6631811320,y,04-AUG-1998,1,4,5.99,25-JAN-2004
"Contemporary Cinema, The",791.43,"Houston, Penelope",845563978X,y,15-APR-1997,1,2,12.49,06-OCT-2002
"Continuous Katherine Mortenhoe, The",823,"Compton, D G",978-7189288343,y,24-MAR-2014,2,2,7.99,15-MAY-2018
Conversations With the Sphinx,500,"Klein, Etienne",027564683X,y,25-DEC-1997,1,1,21.5,13-MAR-2006
Conversations on Truth,100,"Gordon, Mick and Chris Wilkinson (eds)",978-1652609087,y,20-APR-2015,2,1,21.5,15-MAY-2018
Cool It!,500,Lomberg. Bjorn,6163723281,y,19-JUN-1998,2,0,5.99,05-SEP-2006
"Copper Peacock, The",808.3,"Rendell, Ruth",978-4169856973,y,05-OCT-2006,2,2,5.99,17-FEB-2008
"Corrupted Science: Fraud, Ideology and Politics in Science",306.4,"Grant, John",2550898955,y,27-OCT-1995,1,1,17.99,31-AUG-2002
"Cosmic Connection, The",500,"Sagan, Carl",5054756890,y,01-NOV-1994,2,0,5.99,05-SEP-2001
"Cosmological Eye, The",810,"Miller, Henry",6272917234,y,01-NOV-1990,1,2,7.99,01-JUN-2000
Cosmopolis,909.82,"Toulmin, Stephen",3447042682,y,06-SEP-2003,1,4,17.99,26-FEB-2009
"Cosmos, Chaos and the World to Come",291.2,"Cohn, Norman",952226625X,y,30-OCT-2002,1,4,17.99,16-JAN-2011
Count Zero,823,"Gibson, William",3264674900,y,01-MAY-1988,1,2,5.49,06-MAR-1995
"Course of the Heart, The",823,"Harrison, M John",3680008819,n,01-DEC-1992,0,10,5.99,16-MAY-2017
Cover Her Face,823,"James, P D",9920431245,n,17-SEP-1999,0,1,12.49,16-MAY-2017
"Crack, The",823,"Tennant, Emma",4404112722,n,01-APR-1979,0,10,1.99,16-MAY-2017
Cracked: Why Psychiatry is Doing More Harm Than Good,150,"Davies, James",0729660923,n,05-MAY-2003,0,2,5.99,16-MAY-2017
"Craft of Research, The",1.42,"Booth, Wayne. C, Gregory Colomb, and Joseph Williams",7664102315,y,19-SEP-2001,1,1,12.49,20-APR-2011
Crash,823,"Ballard, J G",2992122049,y,01-MAR-1979,1,2,0.99,18-MAY-1987
Creating Mind,150,"Dowling, John E",4442695335,y,06-NOV-2003,1,4,5.99,06-JUN-2013
"Creative Computer, The",500,"Mitchie, R et al",9938256680,n,01-AUG-1990,0,4,17.99,16-MAY-2017
"Creative Cosmos, The",500,"Laszlo, Ervin",7059331409,y,10-FEB-1998,2,4,17.99,29-APR-2006
Creatures of Light and Darkness,823,"Zelazney, Roger",7629984560,y,01-NOV-1979,1,4,0.99,20-NOV-1981
"Criminal History of Mankind, A",364.2,"Wilson, Colin",5800841975,n,13-DEC-2002,0,4,5.99,16-MAY-2017
"Critical History of British Cinema, A",791.43,"Armes, Roy",5540607760,n,06-JUL-2000,0,1,5.99,16-MAY-2017
"Critical and Cultural Theory Reader, A",306,"Easthope, Anthony, and McGowan, (Eds)",1761352290,y,23-NOV-2003,2,2,5.99,27-SEP-2010
"Crocodile Bird, The",823,"Rendell, Ruth",8682094639,y,10-OCT-1995,4,2,5.99,27-DEC-2003
Crome Yellow,823,"Huxley, Aldous",978-2820758327,y,10-DEC-2014,3,1,17.99,15-MAY-2018
"Cry for Myth, The",153,"May, Rollo",3764690922,y,01-MAR-1994,2,2,7.99,30-SEP-2003
"Crying of Lot 49, The",823,"Pynchon, Thomas",3710948729,y,01-NOV-1991,3,1,17.99,01-JUN-2001
"Crystal Bucket, The",791.45,"James, Clive",7348706283,n,01-FEB-1984,0,2,4.5,16-MAY-2017
"Cultural Babbage: Technology, Time and Invention",500,"Spufford, Francis, and Jenny Uglow (eds.)",746676898X,y,,2,2,,21-JAN-2008
"Cultural Studies Reader, A: History, Theory, Practice",820.9,"Munns, Jessica, and Rajan, Gita (eds.)",4244001668,y,,1,1,,09-FEB-2010
Cultural Theory and Popular Culture: A Reader,306,"Storey, John (ed)",7276846970,y,16-SEP-1997,2,2,5.99,06-OCT-1999
"Culture Cult, The",306,"Sandall, Roger",6876116696,y,,2,1,,24-JUN-2011
"Culture and Consensus: England, Art and Politics since 1940",942.08,"Hewison, Robert",559494021X,y,22-DEC-1996,2,1,5.99,23-JUL-2006
Culture and Imperialism,306,"Said, Edward W",1931165011,y,12-DEC-2002,2,0,5.99,12-JUL-2012
Culture in Britain Since 1945,306,"Marwick, Arthur",6491649675,n,12-MAY-1998,0,4,12.49,16-MAY-2017
"Culture of Contentment, The",330,"Galbraith, J K",4249269853,y,01-MAR-1995,1,2,12.49,18-MAY-2003
"Culture, 1922: The Emergence of a Concept",306,"Manganao, Marc",3301976092,y,14-SEP-1998,1,2,12.49,19-JUL-2005
"Cure for Cancer, A",823,"Moorcock, Michael",8506253822,y,01-SEP-1980,1,1,5.49,07-JUL-1987
"Cutting Room, The",823,"Welsh, Louise",978-0772969770,y,02-JUN-2006,5,1,17.99,01-JAN-2016
Daimonic Reality,130,"Harpur, Patrick",8668994954,y,14-OCT-2004,2,2,17.99,31-DEC-2012
"Dalkey Archive, The",823,"O'Brien, Flann",8614408098,n,14-APR-1985,0,10,4.99,16-MAY-2017
Damnation Alley,823,"Zelazney, Roger",9860446183,n,01-JUL-1977,0,4,2.99,16-MAY-2017
"Dancing Wu Li Masters, The",500,"Zukav, Gary",0006360580,y,01-OCT-1983,1,4,4.5,01-MAY-1993
Daniel Martin,823,"Fowles, John",4375692180,n,01-JUL-1984,0,1,2.99,16-MAY-2017
"Dark Adapted Eye, A",823,"Vine, Barabra",5175577051,y,21-NOV-2003,4,1,12.49,10-DEC-2005
Dark Alchemy,808.3,"Dunn, Jack and Gardner Dubois (eds)",7643296773,y,21-NOV-2003,1,2,21.5,25-SEP-2010
"Dark Room, The",823,"Walters, Minette",9230533423,y,,2,1,,20-MAR-2014
"Dark Side of Earth, The",823,"Bester, Alfred",2245096523,y,01-JAN-1982,1,10,2.99,24-JUN-1987
Dark Side of the Moon: The Magnificent Madness of the American  Lunar Quest,500.9,"DeGroot, Gerald",978-3896621435,y,14-JUL-2012,2,4,5.99,15-MAY-2018
Dark White,1.9,"Schnabel, Jim",2982656985,y,16-JAN-2003,2,0,12.49,04-APR-2011
Darkness at Noon,823,"Koestler, Arthur",9745267685,y,01-JAN-1976,4,10,0.99,05-NOV-1982
"Darwin Wars, The",576,"Brown, Andrew",978-741972593X,y,30-SEP-2008,2,4,5.99,23-MAR-2014
Darwin's Dangerous Idea,576,"Dennet, Daniel",1853669724,y,09-AUG-2003,2,2,5.99,26-OCT-2011
"Day After Judgement, The",823,"Blish, James",7816402106,n,22-AUG-2001,0,1,17.99,16-MAY-2017
"Day it Rained For Ever, The",823,"Bradbury, Ray",2077338650,n,01-APR-1976,0,10,1.5,16-MAY-2017
"Day of Forever, The",823,"Ballard, J G",1955602990,y,01-JAN-2001,1,1,5.99,20-MAR-2009
Days in the Life,900,Jonathon Green (ed),4612566207,y,09-OCT-1997,2,0,5.99,10-MAY-2007
Dead Air,823,"Banks, Iain",978-2135264525,y,21-MAY-2007,1,4,5.99,07-AUG-2015
Death and the Author,306,"Ellis, David",1951816889,y,01-DEC-1993,2,1,21.5,17-FEB-2002
Death in Venice,823,"Mann, Thomas",5018103810,y,01-MAY-1978,1,1,0.99,22-OCT-1983
"Death of Grass, The",823,"Christopher, John",978-9732728624,y,02-JAN-2015,3,1,5.99,15-MAY-2018
"Deceivers, The",823,"Bester, Alfred",4326121236,y,18-JUL-2001,2,12,5.99,07-AUG-2003
Deconstructing the Mind,128.2,"Stich, Stephen P",8053496954,y,,1,1,,05-NOV-2012
"Deer Park, The",823,"Mailer, Norman",1327283583,n,01-APR-1984,0,2,2.99,16-MAY-2017
"Defence of the Realm, The",909.81,"Andrew, Christopher",9622186357,y,01-JUL-1986,1,4,5.49,20-JUL-1988
"Delicate Truth, A",823,"Carre, John le",4753624138,y,06-JUN-2002,1,12,5.99,23-AUG-2010
Democracy and Civil Society,321.4,"Keane, John",7283150771,y,09-NOV-1997,1,4,5.99,13-SEP-2004
Democracy:  A Very Short Introduction,321.4,"Crick, Bernard",978-6000217351,y,11-JUN-2014,1,2,5.99,15-MAY-2018
"Demon in My View, A",823,"Rendell, Ruth",2919771603,y,01-MAY-1994,3,1,17.99,05-MAR-2001
"Demon-haunted World, The",501,"Sagan, Carl",5332031071,y,06-DEC-1997,2,1,12.49,07-JUL-2007
Demonic Males,500,"Wrangham, Richard, and Peterson, Dale",667903223X,y,20-APR-2000,1,4,12.49,07-JUL-2008
Derrida,190.9,"Johnson, Christopher",5397066095,y,07-MAY-2000,1,2,5.99,01-FEB-2003
Derrida for Beginners,190.9,"Collins, Jeff and Mayblin, Bill",1415595646,y,15-MAY-1998,1,4,5.99,14-DEC-2007
Descartes in 90 Minutes,190.9,"Strathern, Paul",5416810604,n,30-AUG-2000,0,4,12.49,16-MAY-2017
Descartes' Dream,500,Hersh and Davies,011105059X,y,01-JUN-1992,1,1,17.99,09-SEP-1992
Descartes' Error,510,"Damasio, Antonio R",1600230048,y,29-APR-2003,2,2,21.5,27-NOV-2012
Despatches,973.924,"Herr, Michael",959624386X,n,01-JUN-1981,0,2,1.99,16-MAY-2017
Destination Void,823,"Herbert, Frank",8180883656,n,01-NOV-1977,0,1,1.5,16-MAY-2017
"Detached Retina, The",809.3,"Aldiss, Brian",978-6280349505,y,19-AUG-2007,1,1,12.49,19-MAR-2017
"Detective Under Fire, A",823,"Keating, H R F",978-1538834014,n,15-JUN-2007,0,12,5.99,16-MAY-2017
Deus Irae,823,"Zelazney, Roger and Dick, Philip K",7490774266,y,01-DEC-1986,1,1,1.99,05-OCT-1993
Devices and Desires,823,"James, P D",6806711101,n,01-JUN-1992,0,10,17.99,16-MAY-2017
Devil in Paradise,823,"Miller, Henry",7903911438,y,01-FEB-1980,1,4,1.99,24-JUL-1985
"Devil's Party, The",307.77,"Wilson, Colin",7549450587,y,20-JAN-2004,1,0,5.99,12-JUL-2009
"Devil's Picturebook, The",133.3,"Huson, Paul",8140819132,y,01-JAN-1978,1,2,0.99,02-AUG-1987
"Devils of Loudon, The",944,"Huxley, Aldous",9775509294,y,01-JAN-1976,1,2,1.99,20-JAN-1978
Dhalgren,823,"Delaney, Samuel R",7726895142,n,01-FEB-1980,0,10,4.99,16-MAY-2017
"Diamond Age, The",823,"Stephenson, Neal",0819284912,y,09-AUG-2003,2,1,21.5,26-OCT-2011
"Dice Man, The",823,"Rhinehart, Luke",642065537X,n,01-JUL-1987,0,2,2.99,16-MAY-2017
Dictionary of Symbolism,403,"Biedermann, Hans (ed.)",0452715317,y,22-JUL-2001,1,1,12.49,08-OCT-2009
"Director's Cut, The",791.43,"Littger, Stephan (ed)",0973328767,y,28-MAY-1998,1,1,5.99,14-AUG-2006
Dirk Gently's Holistic Detection Agency,823,"Adams, Douglas",3933775790,n,01-AUG-1988,0,10,1.99,16-MAY-2017
Dirty Tricks,909,"Dibden, Michael",8097392455,y,01-MAR-1995,1,1,5.99,03-JAN-2002
Disappearing Through the Skylight,306,"Hardison, O B",9416452879,y,06-APR-1997,2,1,5.99,05-NOV-2006
"Disaster Area, The",823,"Ballard, J G",2888083487,y,09-JUN-1998,5,1,5.99,30-NOV-2003
"Discoverers, The",600.9,"Boorstin, Daniel J",4701023542,y,09-SEP-2001,2,2,5.99,29-SEP-2003
Discoveries,823,Various,9397086301,y,28-DEC-1995,2,1,17.99,15-MAR-2004
"Discovery of Time, The",500,"Toulmin, Stephen and Goodfield, June",9829594609,y,,2,1,,20-MAR-2014
Discrimination and Popular Culture,306,"Thompson, Denys (ed.)",3745750265,y,31-JAN-2000,2,2,12.49,18-APR-2008
"Divine Invasion, The",823,"Dick, Philip K",3756199998,y,01-JUL-1988,2,10,4.5,30-JAN-1998
Do Androids Dream of Electric Sheep,823,"Dick, Philip K",1572613852,y,01-OCT-1982,1,12,4.5,01-MAY-1992
Doctor Fischer of Geneva or the Bomb Party,823,"Greene, Graham",978-6917332465,y,05-MAY-2013,5,12,7.99,15-MAY-2018
Doctor Freud,150.9,"Ludwig, Emil",2983775503,y,07-FEB-1996,1,4,12.49,25-APR-2004
Does God Play Dice?,500,"Stewart, Iain",3872710100,y,05-OCT-1995,1,2,5.99,05-MAY-2005
"Doll's House, A",822,"Ibsen, Henrik",5279298250,y,15-JUN-1997,1,4,12.49,01-SEP-2005
Doors Open,823,"Rankin, Ian",0262817242,y,,1,10,,24-JUN-2011
"Doors of Perception and Heaven and Hell, The",306,"Huxley, Aldous",7440556175,y,01-JAN-1976,1,1,1.99,23-JUN-1981
"Doors of Perception and Heaven and Hell, The",615.78,"Huxley, Aldous",7394512043,y,01-FEB-2001,2,2,5.99,07-DEC-2007
"Dosadi Experiment, The",823,"Herbert, Frank",0522305458,y,01-NOV-1980,4,1,1.99,06-SEP-1987
"Double Helix, The",500,"Watson, Jim",9572510761,y,28-MAY-2003,1,2,7.99,26-DEC-2012
Double Indemnity,823,"Cain, James M",978-7509470916,y,25-DEC-2015,1,1,17.99,15-MAY-2018
Doubt and Uncertainty,500,"Rothman, Tony and Sudershan, George",536693670X,y,04-JAN-2002,1,1,5.99,24-JAN-2004
Down and Out in London and Paris,823,"Orwell, George",6029465197,n,01-JAN-1976,0,1,0.99,16-MAY-2017
Downbelow Station,823,"Cherryh, C J",4955827070,y,15-JUL-2002,1,12,7.99,27-NOV-2003
Dr Brody's Report,808.3,"Borges, Jorge Luis",2511234946,y,01-OCT-1980,1,2,2.99,18-DEC-1988
Dr Mirabilis,823,"Blish, James",9192279363,y,01-AUG-1988,5,12,4.5,06-JUN-1995
Dracula,823,"Stoker, Bram",978-1666913802,y,03-JUN-2015,4,10,5.99,15-MAY-2018
"Dragon and the Disc, The",1.9,"Holiday, F W",2816261418,y,01-JUN-1981,2,4,1.99,14-OCT-1982
"Dragon in the Sea, The",823,"Herbert, Frank",106553579X,y,01-OCT-1978,1,1,2.99,05-AUG-1985
Dragonflight,823,"MacAffrey, Anne",9141784990,n,01-AUG-1979,0,10,1.99,16-MAY-2017
"Dragonlance Chronicles, The",823,"Weiss and Hickman, T",3906918426,n,01-JAN-1992,0,10,5.99,16-MAY-2017
"Dragons of Eden, The",500,"Sagan, Carl",5827834167,n,01-JUN-1986,0,1,1.99,16-MAY-2017
"Dream Life, The",79.43,"Hoberman, J",978-7070718909,y,10-SEP-2008,2,2,5.99,03-MAR-2014
"Dream Master, The",823,"Zelazney, Roger",5058715402,n,01-JAN-1977,0,10,1.99,16-MAY-2017
"Dream Master, The",823,"Zelazney, Roger",5896755069,n,01-DEC-1992,0,1,7.99,16-MAY-2017
"Dream of Spaceflight, The",500,"Wachhorst, Wyn",1412586393,y,07-DEC-2003,2,2,12.49,26-DEC-2005
Dreamers of the Absolute,824,"Enzensberger, Hans Magnus",2201002260,y,01-JAN-1994,1,1,21.5,20-MAR-2002
"Dreaming Brain, The",500,"Hobson, J Allan",6465801502,y,14-MAR-1997,2,4,5.99,31-MAY-2005
Dreaming Souls,153,"Flanagan, Owen",5117204131,y,20-DEC-2005,1,2,21.5,12-JUN-2011
"Drought, The",823,"Ballard, J G",5640646231,y,01-MAY-1977,3,4,1.99,05-MAR-1984
"Drowned World, The",823,"Ballard, J G",8604078027,y,01-FEB-1982,1,1,4.5,12-MAR-1986
"Drunkard's Walk, The",500,"Mlodinow, Leanord",8117337985,y,,1,1,,20-MAR-2014
Dulcima,823,"Bates, H E",9142680745,y,18-APR-2001,5,12,5.99,05-JUL-2009
Dune,823,"Herbert, Frank",209670706X,y,25-DEC-2002,1,1,21.5,29-OCT-2009
Dune Messiah,823,"Herbert, Frank",1809656984,y,30-DEC-2002,4,10,5.99,18-MAR-2011
"Dustbin of History, The",900,"Marcus, Greil",9846576094,y,22-DEC-1999,2,1,5.99,09-MAR-2008
Dying Inside,823,"Silverberg, Robert",3925400164,y,01-MAY-1986,1,1,2.99,05-MAR-1993
Dylan Thomas: A New Life,821.9,"Lycett, Andrew",7725265928,y,04-AUG-1998,2,1,5.99,21-OCT-2006
E-topia,300,"Mitchell, William J",978-4502463059,y,09-JAN-2007,2,1,17.99,28-JAN-2009
Early Victorian Britain,941.081,"Harrison, J F C",713278360X,n,29-APR-1999,0,4,5.99,16-MAY-2017
Earthlights,1.9,"Devereux, Paul",9963442315,y,01-MAR-1995,2,1,17.99,18-MAY-2003
East of the Mountains,823,"Guterson, David",2563592923,y,23-MAY-1996,3,4,17.99,09-AUG-2004
"Ebony Tower, The",808.3,"Fowles, John",5725255579,y,01-FEB-1979,2,0,0.99,01-SEP-1988
"Echo, The",823,"Walters, Minette",978-7351819248,y,20-JUL-2006,3,1,12.49,10-JAN-2012
Ecology for Beginners,577,"Croall, Stephen and Rankin, William",9927589409,y,05-NOV-1997,2,2,5.99,06-JUN-2007
"Ecology of Eden, The",300,"Eisenberg, Evan",4409012117,y,01-DEC-1993,2,4,21.5,02-JUL-2003
Economic History of World Population,330,"Cipolla, Carol M",5955691704,y,18-MAR-1996,2,1,5.99,04-JUN-2004
Economic Philosophy,330,"Robinson, Joan",9467599238,y,08-SEP-1996,2,2,7.99,09-APR-2006
"Edges of Science, The",500,"Morris, Richard",0662633623,y,21-DEC-1998,2,1,12.49,31-MAR-1999
Educating Eve,401,"Sampson, Geoffrey",050578307X,y,22-MAR-2002,1,4,21.5,12-SEP-2007
Eighteenth-Century English Society,900,"Hay, Douglas and Rogers, Nicholas",3944270380,y,14-MAY-1999,1,4,12.49,31-JUL-2007
"Einstein Intersection, The",823,"Delaney, Samuel R",2582234239,n,01-SEP-1981,0,10,5.49,16-MAY-2017
Einstein for Beginners,500,"Infeld, Leopold",1209688583,n,01-MAR-1981,0,2,4.5,16-MAY-2017
Einstein's Monsters,823,"Amis, Martin",4141318386,n,01-FEB-1989,0,2,4.99,16-MAY-2017
Einstein's Universe,530,"Calder, Nigel",0975889951,y,01-DEC-1982,1,2,4.99,05-OCT-1989
Elites and Society,305.5201,"Bottomore, T B",7652547787,y,18-JUL-2001,1,1,12.49,04-OCT-2009
Elizabeth the Queen,942,"Weir, Alison",6441508865,y,,2,1,,02-AUG-2015
"Elizabethan World Picture, The",941.06,"Tillyard, E M W",4487046355,y,20-APR-1999,2,2,5.99,22-FEB-2006
Emblems of the Mind,128.2,"Rothstein, Edward",700444537X,n,09-APR-2004,0,2,5.99,16-MAY-2017
Emergence,500,"Johnson, Steven",5791278773,y,08-OCT-1997,2,4,21.5,16-NOV-2001
"Emergence of Agriculture, The",500,"Smith, Bruce D",3504463888,y,,1,2,,20-MAR-2014
Emma,823,"Austen, Jane",3101579674,y,01-DEC-1986,4,0,4.99,17-FEB-1995
Emotional Contagion,153,"Hatfield, Elaine, et al",0386275817,y,05-DEC-2000,2,4,5.99,10-OCT-2007
Emotionally Weird,823,"Atkinson, Kate",978-6675400914,y,30-DEC-2015,3,4,7.99,15-MAY-2018
"Emperor's New Mind, The",500,"Penrose, Roger",9329362162,y,01-MAY-1991,2,2,5.99,18-JUL-1999
